,Name,Brand,Price,Link
1,"AVITA Essential 14 Celeron N4020 256GB SSD 14"" Full HD Laptop Matt White Color",AVITA,29000,https://www.startech.com.bd/avita-essential-14-celeron-n4020-256gb-ssd-laptop-matt-white
2,"DOEL Freedom A9 AMD A9-9425 14.1"" HD Laptop",DOEL,29999,https://www.startech.com.bd/doel-freedom-a9-amd-a9-9425-laptop
3,"Toshiba Dynabook Satellite Pro C40-G-109 Celeron 5205U 14"" HD Laptop",Toshiba,30500,https://www.startech.com.bd/toshiba-dynabook-satellite-pro-c40-g-109-laptop
4,"Acer TravelMate TMB 311-31-C3CD Celeron N4020 11.6"" HD Laptop",Acer,33500,https://www.startech.com.bd/acer-travelmate-tmb-311-31-c3cd-celeron-n4020-aptop
5,"Lenovo IdeaPad D330 10IGL Intel CDC N4020 10.1"" HD Touch Laptop",Lenovo,35900,https://www.startech.com.bd/lenovo-ideapad-d330-cdc-n4020-laptop
6,"Lenovo IdeaPad Slim 3i Celeron N4020 256GB SSD 15.6"" HD Laptop with 3 Years Warranty",Lenovo,36500,https://www.startech.com.bd/lenovo-ideapad-slim-3i-celeron-n4020-256gb-ssd-laptop
7,"Lenovo IdeaPad Slim 3i Celeron N4020 14"" FHD Laptop",Lenovo,36500,https://www.startech.com.bd/lenovo-ideapad-slim-3i-celeron-n4020-fhd-laptop
8,"Asus Vivobook X515MA Celeron N4020 15.6"" HD Laptop",Asus,41000,https://www.startech.com.bd/asus-vivobook-x515ma-celeron-laptop
9,Asus P1511CMA Intel Celeron N4020 15.6-Inch HD Laptop,Asus,41500,https://www.startech.com.bd/asus-p1511cma-intel-celeron-n4020-hd-laptop
10,"Asus Vivobook X515KA Celeron N4500 15.6"" HD Laptop",Asus,42500,https://www.startech.com.bd/asus-vivobook-x515ka-celeron-n4500-laptop
11,"Asus Vivobook X515KA Celeron N4500 15.6"" FHD Laptop",Asus,42500,https://www.startech.com.bd/asus-vivobook-x515ka-celeron-n4500-fhd-laptop
12,"Asus Vivobook X515MA Celeron N4020 15.6"" FHD Laptop",Asus,43500,https://www.startech.com.bd/asus-vivobook-x515ma-fhd-laptop
13,"Asus Vivobook X515MA Celeron N4500 15.6"" HD Laptop",Asus,43500,https://www.startech.com.bd/asus-vivobook-x515ma-celeron-n4500-laptop
14,"Toshiba Dynabook Satellite Pro C40-G-11I Core i3 10th Gen 14"" HD Laptop",Toshiba,44900,https://www.startech.com.bd/toshiba-dynabook-satellite-pro-c40-g-11i-laptop
15,"Asus Vivobook E410MA Celeron N4020 14"" HD Laptop",Asus,45000,https://www.startech.com.bd/asus-vivobook-e410ma-celeron-n4020-14-inch-hd-laptop
16,"HP 15s-eq3617TU Celeron N4500 15.6"" FHD Laptop",HP,46000,https://www.startech.com.bd/hp-15s-eq3617tu-celeron-n4500-fhd-laptop
17,"Asus VivoBook 15 X515FA Core i3 10th Gen 15.6"" FHD Laptop",Asus,46500,https://www.startech.com.bd/asus-vivobook-15-x515fa-intel-core-i3-10th-gen-laptop
18,"Asus VivoBook 14 X415FA Core i3 10th Gen 256GB SSD 14"" FHD Laptop",Asus,46500,https://www.startech.com.bd/asus-vivobook-14-x415fa-core-i3-10th-gen-fhd-laptop
19,"ASUS VivoBook 15 X515JA Core i3 10th Gen 15.6"" FHD Laptop",ASUS,47000,https://www.startech.com.bd/asus-vivobook-15-x515ja-core-i3-10th-gen-laptop
20,"Asus VivoBook 15 E510MA Intel Celeron N4020 15.6"" FHD Laptop",Asus,47000,https://www.startech.com.bd/asus-vivobook-15-e510ma-celeron-n4020-fhd-laptop
21,"Asus VivoBook 14 X415FA Core i3 10th Gen 14"" FHD Laptop",Asus,47000,https://www.startech.com.bd/asus-vivobook-14-x415fa-core-i3-10th-gen-laptop
22,"Asus VivoBook 15 E510MA Celeron N4020 15.6"" FHD Laptop with Fingerprint",Asus,47000,https://www.startech.com.bd/asus-vivobook-15-e510ma-celeron-n4020-laptop
23,"Asus VivoBook 15 R565FA Core i3 10th Gen 15.6"" HD Laptop",Asus,47000,https://www.startech.com.bd/asus-vivobook-15-r565fa-core-i3-10th-gen-laptop
24,Acer Aspire 3 A315-23 Ryzen 3 3250U 8GB RAM 15.6'' FHD Laptop,Acer,47000,https://www.startech.com.bd/acer-aspire-3-a315-23-ryzen-3-3250u-8gb-ram-fhd-laptop
25,"Acer Extensa 15 EX215-54-37AH Core i3 11th Gen 15.6"" FHD Laptop",Acer,47500,https://www.startech.com.bd/acer-extensa-15-ex215-54-37ah-core-i3-11th-gen-laptop
26,"Lenovo IdeaPad Slim 3i Core i3 10th Gen 15.6"" FHD Laptop",Lenovo,47500,https://www.startech.com.bd/lenovo-ideapad-slim-3i-core-i3-10th-gen-fhd-laptop
27,"ASUS VivoBook 15 X515JA Core i3 10th Gen 8GB RAM 15.6"" FHD Laptop",ASUS,49000,https://www.startech.com.bd/asus-vivobook-15-x515ja-core-i3-10th-gen-fhd-laptop
28,"DOEL T10 Core i3 10th Gen 14"" FHD Laptop",DOEL,49499,https://www.startech.com.bd/doel-t10-core-i3-10th-gen-laptop
29,"Walton Passion BX310U Core i3 10th Gen 15.6"" FHD Laptop",Walton,49850,https://www.startech.com.bd/walton-passion-bx310u-core-i3-10th-gen-laptop
30,"HP 15s-eq1578AU AMD Athlon 3050U 15.6"" FHD Laptop",HP,50900,https://www.startech.com.bd/hp-15s-eq1578au-amd-athlon-3050u-fhd-laptop
31,"Dell Vostro 14 3400 Core i3 11th Gen 14"" HD Laptop",Dell,48500,https://www.startech.com.bd/dell-vostro-14-3400-laptop
32,"Acer Aspire 3 A315-58 Core i3 1115G4 11th Gen 15.6"" FHD Laptop",Acer,51000,https://www.startech.com.bd/acer-aspire-3-a315-58-core-i3-1115g4-11th-gen-fhd-laptop
33,"ASUS VivoBook 15 X515EA Core i3 11th Gen 15.6"" FHD WV Laptop",ASUS,52000,https://www.startech.com.bd/asus-vivobook-15-x515ea-i3-11th-gen-laptop
34,"ASUS VivoBook 15 X515EA Core i3 11th Gen 15.6"" FHD Laptop",ASUS,52000,https://www.startech.com.bd/asus-vivobook-15-x515ea-i3-11th-gen-15-6-inch-fhd-laptop
35,"Dell Latitude 15-3520 Core i3 1115G4 15.6"" HD Laptop",Dell,52000,https://www.startech.com.bd/dell-latitude-15-3520-core-i3-1115g4-laptop
36,"Lenovo IdeaPad Slim 3i 11th Gen Core i3 256GB SSD 15.6"" Full HD Laptop with Windows 11",Lenovo,52400,https://www.startech.com.bd/lenovo-ideapad-slim-3i-core-i3-11th-fhd-gen-256gb-ssd-laptop
37,"Lenovo V14 Core i3 11th Gen 14"" Full HD Laptop",Lenovo,52500,https://www.startech.com.bd/lenovo-v14-core-i3-11th-gen-full-hd-laptop
38,"Lenovo IdeaPad 1 15ADA7 AMD Ryzen 3 3250U 15.6"" FHD Laptop",Lenovo,52500,https://www.startech.com.bd/lenovo-ideapad-1-15ada7-ryzen-3-fhd-laptop
