,Name,Brand,Price,Link,Storage
1,"AVITA Essential 14 Celeron N4020 256GB SSD 14"" Full HD Laptop Matt White Color",AVITA,27500,https://www.startech.com.bd/avita-essential-14-celeron-n4020-256gb-ssd-laptop-matt-white,"RAM: 4GB LPDDR4, Storage: 256GB SATA SSD"
2,"DOEL Freedom A9 AMD A9-9425 14.1"" HD Laptop",DOEL,26999,https://www.startech.com.bd/doel-freedom-a9-amd-a9-9425-laptop,"RAM: 4GB, Storage: 240GB SSD"
3,"Toshiba Dynabook Satellite Pro C40-G-109 Celeron 5205U 14"" HD Laptop",Toshiba,29700,https://www.startech.com.bd/toshiba-dynabook-satellite-pro-c40-g-109-laptop,RAM: 4GB 3200MHz. Storage: 128GB SSD
4,"Acer TravelMate TMB 311-31-C3CD Celeron N4020 11.6"" HD Laptop",Acer,32000,https://www.startech.com.bd/acer-travelmate-tmb-311-31-c3cd-celeron-n4020-aptop,"RAM: 4GB DDR4 RAM, Storage: 256GB SSD"
5,"Lenovo IdeaPad D330 10IGL Intel CDC N4020 10.1"" HD Touch Laptop",Lenovo,35900,https://www.startech.com.bd/lenovo-ideapad-d330-cdc-n4020-laptop,RAM: 4GB DDR4
6,"Lenovo IdeaPad Slim 3i Celeron N4020 256GB SSD 15.6"" HD Laptop with 3 Years Warranty",Lenovo,36500,https://www.startech.com.bd/lenovo-ideapad-slim-3i-celeron-n4020-256gb-ssd-laptop,"RAM: 4GB DDR4, Storage: 256GB SSD"
7,"Lenovo IdeaPad Slim 3i Celeron N4020 14"" FHD Laptop",Lenovo,36500,https://www.startech.com.bd/lenovo-ideapad-slim-3i-celeron-n4020-fhd-laptop,"RAM: 4GB DDR4, Storage: 256GB SSD"
8,"Asus Vivobook X515MA Celeron N4020 15.6"" HD Laptop",Asus,41000,https://www.startech.com.bd/asus-vivobook-x515ma-celeron-laptop,Memory: 4GB DDR4 RAM
9,Asus P1511CMA Intel Celeron N4020 15.6-Inch HD Laptop,Asus,41500,https://www.startech.com.bd/asus-p1511cma-intel-celeron-n4020-hd-laptop,"Ram: 4GB DDR4, Storage: 1TB HDD"
10,"Asus Vivobook X515KA Celeron N4500 15.6"" HD Laptop",Asus,42500,https://www.startech.com.bd/asus-vivobook-x515ka-celeron-n4500-laptop,"RAM: 4GB DDR4 RAM, Storage: 1TB 5400RPM HDD"
11,"Asus Vivobook X515KA Celeron N4500 15.6"" FHD Laptop",Asus,42500,https://www.startech.com.bd/asus-vivobook-x515ka-celeron-n4500-fhd-laptop,"RAM: 4GB DDR4 RAM, Storage: 1TB 5400RPM HDD"
12,"Asus Vivobook X515MA Celeron N4020 15.6"" FHD Laptop",Asus,43500,https://www.startech.com.bd/asus-vivobook-x515ma-fhd-laptop,4GB DDR4 RAM
13,"Asus Vivobook X515MA Celeron N4500 15.6"" HD Laptop",Asus,43500,https://www.startech.com.bd/asus-vivobook-x515ma-celeron-n4500-laptop,"RAM: 4GB DDR4, Storage: 1TB 5400RPM HDD"
14,"Toshiba Dynabook Satellite Pro C40-G-11I Core i3 10th Gen 14"" HD Laptop",Toshiba,43500,https://www.startech.com.bd/toshiba-dynabook-satellite-pro-c40-g-11i-laptop,RAM: 8GB 3200MHz. Storage: 256GB SSD
15,"Asus Vivobook E410MA Celeron N4020 14"" HD Laptop",Asus,45000,https://www.startech.com.bd/asus-vivobook-e410ma-celeron-n4020-14-inch-hd-laptop,"RAM: 4GB DDR4 (Onboard), Storage: 256GB PCIEG3 SSD"
16,"HP 15s-eq3617TU Celeron N4500 15.6"" FHD Laptop",HP,46000,https://www.startech.com.bd/hp-15s-eq3617tu-celeron-n4500-fhd-laptop,"RAM: 4GB DDR4, Storage: 256GB SSD"
17,"Asus VivoBook 15 X515FA Core i3 10th Gen 15.6"" FHD Laptop",Asus,46500,https://www.startech.com.bd/asus-vivobook-15-x515fa-intel-core-i3-10th-gen-laptop,Memory: 4GB DDR4 3200MHz RAM
18,"Asus VivoBook 14 X415FA Core i3 10th Gen 256GB SSD 14"" FHD Laptop",Asus,46500,https://www.startech.com.bd/asus-vivobook-14-x415fa-core-i3-10th-gen-fhd-laptop,"RAM: 4GB DDR4 RAM, Storage: 256GB SSD"
19,"ASUS VivoBook 15 X515JA Core i3 10th Gen 512GB SSD 15.6"" FHD Laptop",ASUS,52000,https://www.startech.com.bd/asus-vivobook-15-x515ja-i3-10th-gen-fhd-laptop,"RAM: 4GB DDR4, Storage: 512G PCIE G3 SSD"
20,"ASUS VivoBook 15 X515JA Core i3 10th Gen 15.6"" FHD Laptop",ASUS,47000,https://www.startech.com.bd/asus-vivobook-15-x515ja-core-i3-10th-gen-laptop,"RAM: 4GB DDR4, Storage: 1TB HDD"
21,"Asus VivoBook 15 E510MA Intel Celeron N4020 15.6"" FHD Laptop",Asus,47000,https://www.startech.com.bd/asus-vivobook-15-e510ma-celeron-n4020-fhd-laptop,4GB DDR4 RAM
22,"Asus VivoBook 14 X415FA Core i3 10th Gen 14"" FHD Laptop",Asus,47000,https://www.startech.com.bd/asus-vivobook-14-x415fa-core-i3-10th-gen-laptop,Memory: 4GB DDR4 RAM
23,"Asus VivoBook 15 E510MA Celeron N4020 15.6"" FHD Laptop with Fingerprint",Asus,47000,https://www.startech.com.bd/asus-vivobook-15-e510ma-celeron-n4020-laptop,"RAM: 4GB DDR4 (Onboard), Storage: 512GB SSD"
24,"Asus VivoBook 15 R565FA Core i3 10th Gen 15.6"" HD Laptop",Asus,47000,https://www.startech.com.bd/asus-vivobook-15-r565fa-core-i3-10th-gen-laptop,"RAM: 4GB 3200MHz RAM, Storage: 1TB 5400 RPM SATA HDD"
25,Acer Aspire 3 A315-23 Ryzen 3 3250U 8GB RAM 15.6'' FHD Laptop,Acer,44500,https://www.startech.com.bd/acer-aspire-3-a315-23-ryzen-3-3250u-8gb-ram-fhd-laptop,"RAM: 8GB DDR4, Storage: 256GB SSD"
26,"Acer Extensa 15 EX215-54-37AH Core i3 11th Gen 15.6"" FHD Laptop",Acer,47500,https://www.startech.com.bd/acer-extensa-15-ex215-54-37ah-core-i3-11th-gen-laptop,Memory: 4 GB DDR4 SDRAM
27,"Lenovo IdeaPad Slim 3i Core i3 10th Gen 15.6"" FHD Laptop",Lenovo,46500,https://www.startech.com.bd/lenovo-ideapad-slim-3i-core-i3-10th-gen-fhd-laptop,"RAM: 4GB DDR4 2666Mhz , Storage: 256GB SSD"
28,"ASUS VivoBook 15 X515JA Core i3 10th Gen 8GB RAM 15.6"" FHD Laptop",ASUS,49000,https://www.startech.com.bd/asus-vivobook-15-x515ja-core-i3-10th-gen-fhd-laptop,"RAM: 8GB DDR4, Storage: 1TB HDD"
29,"DOEL T10 Core i3 10th Gen 14"" FHD Laptop",DOEL,49499,https://www.startech.com.bd/doel-t10-core-i3-10th-gen-laptop,"RAM: 4GB DDR4, Storage: 512GB SSD"
30,"Walton Passion BX310U Core i3 10th Gen 15.6"" FHD Laptop",Walton,49850,https://www.startech.com.bd/walton-passion-bx310u-core-i3-10th-gen-laptop,"RAM: 8GB 2666MHz, Storage: 512GB SSD"
31,"HP 15s-eq1578AU AMD Athlon 3050U 15.6"" FHD Laptop",HP,50900,https://www.startech.com.bd/hp-15s-eq1578au-amd-athlon-3050u-fhd-laptop,"RAM: 8GB DDR4, Storage: 256GB SSD"
32,"Dell Vostro 14 3400 Core i3 11th Gen 14"" HD Laptop",Dell,48500,https://www.startech.com.bd/dell-vostro-14-3400-laptop,"RAM: 4GB DDR4, Storage: 1TB SATA HDD"
33,"Acer Aspire 3 A315-58 Core i3 1115G4 11th Gen 15.6"" FHD Laptop",Acer,51000,https://www.startech.com.bd/acer-aspire-3-a315-58-core-i3-1115g4-11th-gen-fhd-laptop,"RAM: 8GB DDR4, Storage: 256GB SSD"
34,"ASUS VivoBook 15 X515EA Core i3 11th Gen 15.6"" FHD WV Laptop",ASUS,52000,https://www.startech.com.bd/asus-vivobook-15-x515ea-i3-11th-gen-laptop,"RAM: 4GB DDR4 , Storage: 1TB HDD"
35,"ASUS VivoBook 15 X515EA Core i3 11th Gen 15.6"" FHD Laptop",ASUS,52000,https://www.startech.com.bd/asus-vivobook-15-x515ea-i3-11th-gen-15-6-inch-fhd-laptop,"RAM: 4GB DDR4 , Storage: 1TB HDD"
36,"Dell Latitude 15-3520 Core i3 1115G4 15.6"" HD Laptop",Dell,52000,https://www.startech.com.bd/dell-latitude-15-3520-core-i3-1115g4-laptop,"RAM: 4GB DDR4, Storage: 1TB HDD"
37,"Lenovo IdeaPad Slim 3i 11th Gen Core i3 256GB SSD 15.6"" Full HD Laptop with Windows 11",Lenovo,52400,https://www.startech.com.bd/lenovo-ideapad-slim-3i-core-i3-11th-fhd-gen-256gb-ssd-laptop,RAM & SSD: 4GB 3200Mhz RAM + 256GB SSD
38,"Lenovo V14 Core i3 11th Gen 14"" Full HD Laptop",Lenovo,52500,https://www.startech.com.bd/lenovo-v14-core-i3-11th-gen-full-hd-laptop,"RAM: 4GB 3200Mhz, Storage: 1TB HDD"
39,"Lenovo IdeaPad 1 15ADA7 AMD Ryzen 3 3250U 15.6"" FHD Laptop",Lenovo,55000,https://www.startech.com.bd/lenovo-ideapad-1-15ada7-ryzen-3-fhd-laptop,"RAM: 8GB 2400MHz, Storage: 512GB  SSD"
40,"Walton Passion BP5800 Core i5 8th Gen 15.6"" HD Laptop",Walton,52550,https://www.startech.com.bd/walton-passion-bp5800-core-i5-8th-gen-laptop,"RAM: 8GB DDR4, Storage: 1TB HDD"
41,ASUS D415DA Ryzen 3 3250U 14-inch HD Laptop,ASUS,53000,https://www.startech.com.bd/asus-d415da-ryzen-3-3250u-hd-laptop,"Ram: 4GB DDR4, Storage: 1TB HDD"
42,"ASUS VivoBook 15 M515DA Ryzen 3 3250U 15.6"" HD Laptop",ASUS,53000,https://www.startech.com.bd/asus-vivobook-15-m515da-ryzen-3-3250u-hd-laptop,"RAM: 4GB DDR4 RAM, Storage: 1TB HDD"
43,"Acer Aspire 3 A315-58 Core i3 11th Gen 512GB SSD 15.6"" FHD Laptop",Acer,49500,https://www.startech.com.bd/acer-aspire-3-a315-58-core-i3-11th-gen-fhd-laptop,"RAM: 8GB DDR4, Storage: 512GB SSD"
44,"Dell Vostro 14 3400 Core i3 11th Gen 14"" HD Laptop Backlit Keyboard with 256GB SSD+1TB HDD (03 Years Warranty)",Dell,50500,https://www.startech.com.bd/dell-vostro-14-3400-core-i3-hd-laptop,"RAM: 4GB DDR4, Storage: 1TB SATA HDD + 256GB SSD"
45,"Acer TravelMate TMP215-53 Core i3 11th Gen 15.6"" FHD Laptop",Acer,48500,https://www.startech.com.bd/acer-travelmate-tmp215-53-core-i3-11th-gen-laptop,"RAM: 4GB 2400MHz, Storage: 1TB HDD"
46,"ASUS VivoBook 15 D515DA Ryzen 3 3250U 15.6"" FHD Laptop",ASUS,55500,https://www.startech.com.bd/asus-vivobook-15-d515da-ryzen-3-3250u-laptop,Memory: 4GB DDR4 RAM (On Board)
47,"ASUS VivoBook 15 D515DA Ryzen 3 3250U 15.6"" FHD Laptop with Windows 11",ASUS,55500,https://www.startech.com.bd/asus-vivobook-15-d515da-ryzen-3-laptop,Memory: 4GB DDR4 RAM (On Board)
48,"ASUS ExpertBook P1 P1412CEA Core i3 11th Gen 14"" FHD Laptop",ASUS,56000,https://www.startech.com.bd/asus-expertbook-p1-p1412cea-core-i3-11th-gen-laptop,"RAM: 4GB 3200MHz, Storage: 1TB HDD"
49,"Lenovo IdeaPad Slim 3i 11th Gen Core i3 8GB RAM 14"" FHD Laptop with Windows 11",Lenovo,56900,https://www.startech.com.bd/lenovo-ideapad-slim-3i-core-i3-11th-fhd-gen-8gb-ram-14-inch-laptop,"RAM: 8GB 3200Mhz, Storage: 256GB SSD"
50,"Walton Tamarind MX311G Core i3 11th Gen 14"" FHD Laptop",Walton,57500,https://www.startech.com.bd/walton-tamarind-mx311g-core-i3-11th-gen-laptop,"RAM: 8GB 3200MHz, Storage: 512GB SSD"
51,"ASUS VivoBook 15 X515EA Core i3 11th Gen 512GB SSD 15.6"" FHD Laptop",ASUS,58000,https://www.startech.com.bd/asus-vivobook-15-x515ea-core-i3-11th-gen-fhd-laptop,"RAM: 4GB DDR4 RAM (Onboard), Storage: 512GB SSD"
52,"Dell Inspiron 15 3525 Ryzen 3 5425U 15.6"" FHD Laptop",Dell,58000,https://www.startech.com.bd/dell-inspiron-15-3525-ryzen-3-5425u-fhd-laptop,"RAM: 8GB RAM, Storage: 256GB SSD"
53,"HP 250 G8 Core i3 11th Gen 15.6"" FHD Laptop",HP,58500,https://www.startech.com.bd/hp-250-g8-core-i3-11th-gen-laptop,"RAM: 8GB DDR4, Storage: 1TB HDD"
54,"HP 15s-fq5486TU Core i3 12th Gen 15.6"" FHD Laptop",HP,58900,https://www.startech.com.bd/hp-15s-fq5486tu-core-i3-12th-gen-laptop,"RAM: 4GB RAM, Storage: 256GB SSD"
55,"Asus ExpertBook B1 B1500CEAE Core i3 11th Gen 512GB SSD 15.6"" FHD Laptop",Asus,57000,https://www.startech.com.bd/asus-expertbook-b1-b1500ceae-i3-11th-gen-laptop,4GB DDR4 RAM
56,"Walton Passion BP7800 Core i7 8th Gen 15.6"" HD Laptop",Walton,59500,https://www.startech.com.bd/walton-passion-bp7800-core-i7-8th-gen-laptop,"RAM: 8GB DDR4, Storage: 1TB HDD"
57,"ASUS VivoBook 15 X515EA Core i3 11th Gen 8GB RAM 512GB SSD 15.6"" FHD Laptop",ASUS,59500,https://www.startech.com.bd/asus-vivobook-15-x515ea-core-i3-laptop,"RAM: 8GB DDR4, Storage: 512GB SSD"
